variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,rank_yang_refusal,rank_zhao_topk,rank_zhao_relative_epsilon,rank_wang,rank_wang_robust,percentile_siren,percentile_yang_harmfulness,percentile_yang_refusal,percentile_zhao_topk,percentile_zhao_relative_epsilon,percentile_wang,percentile_wang_robust,consensus_score
quota,10,14295,zhao_topk,zhao_relative_epsilon;wang;wang_robust,4,11,6923,155711,446877,3,3,153,290,0.015088795446767419,0.3394216034406464,0.9741144978430565,4.359663521169436e-06,4.359663521169436e-06,0.00033133442760887715,0.0006299713788089835,0.18994213169484717
quota,31,12111,zhao_relative_epsilon,zhao_topk,2,12,22334,375193,31177,4,4,333323,333323,0.04868218270913851,0.8178554379173015,0.06795843496798917,6.539495281754154e-06,6.539495281754154e-06,0.7265858821016195,0.7265858821016195,0.34109727125546163
quota,26,7711,wang,siren;wang_robust,3,13,35,192432,88160,64135,53215,3,6,7.411427985988042e-05,0.41946720552107786,0.19217178818138816,0.1398013301333403,0.11599756730775519,4.359663521169436e-06,1.089915880292359e-05,0.12393246632082079
quota,0,8092,wang_robust,zhao_topk;wang,3,14,1061,286495,345781,216,48705,10,7,0.0023106216662198012,0.6245087204169583,0.7537422261749838,0.00046866382852571437,0.10616652606751811,1.9618485845262463e-05,1.3078990563508308e-05,0.21246135080437348
quota,2,11075,siren,,1,15,3,139268,228197,60702,122778,2301,1903,4.359663521169436e-06,0.3035786298013519,0.49742888843839034,0.13231796769925297,0.2676332040693099,0.005013613049344851,0.004146040008632133,0.17287467181854335
quota,31,8154,yang_harmfulness,yang_refusal,2,16,5721,3,72,1832,22759,442085,442085,0.012468637670544588,4.359663521169436e-06,0.00015476805500151499,0.003991271953630619,0.049608611207387014,0.9636687440463345,0.9636687440463345,0.28479501952039343
quota,31,2958,yang_refusal,yang_harmfulness,2,17,15899,104,3,2468,49435,80333,21095,0.03465496532977585,0.00022452267134022595,4.359663521169436e-06,0.005377644953362499,0.10775780325274495,0.17511024499129157,0.045981371157774044,0.052730130288544334
quota,0,8268,zhao_topk,zhao_relative_epsilon;wang;wang_robust,4,18,127883,142074,360243,5,39,145,133,0.27876124520709494,0.30969523772155266,0.78526695309656,8.719327042338873e-06,8.283360690221929e-05,0.0003138957735241994,0.0002877377923971828,0.19634523178929622
quota,14,12639,zhao_relative_epsilon,zhao_topk,2,19,32969,743,543,10,5,192958,193693,0.07186469348295699,0.0016174351663538608,0.0011814688142369172,1.9618485845262463e-05,8.719327042338873e-06,0.42061379702714546,0.4222159733711752,0.131074529382108
quota,20,9424,wang,siren;wang_robust,3,20,77,123449,15563,72127,287400,5,8,0.00016566721380443857,0.26909587118066225,0.033922541858219385,0.15722254556393336,0.6264814681602874,8.719327042338873e-06,1.5258822324093028e-05,0.15527315316089618
quota,19,10348,wang_robust,wang,2,21,1088,3428,12070,5050,29306,6,9,0.0023694771237555887,0.007470283443523829,0.026308389518496962,0.011005970559192241,0.06387996974393516,1.089915880292359e-05,1.7438654084677745e-05,0.015866061171684483
quota,3,14176,siren,,1,22,4,32354,2050,6982,7396,458106,458106,6.539495281754154e-06,0.07052409695019739,0.004466475277438087,0.015217405520641917,0.01611985586952399,0.9985918286826623,0.9985918286826623,0.3005025757826297
quota,31,3409,yang_harmfulness,yang_refusal;wang;wang_robust,4,23,2013,4,10,1934,26473,163,48,0.0043858215022964525,6.539495281754154e-06,1.9618485845262463e-05,0.00421361479321026,0.05770450636619866,0.0003531327452147243,0.00010245209274748175,0.009540812211542085
quota,31,9519,yang_refusal,yang_harmfulness,2,24,20072,48,4,908,4786,373069,373069,0.043751403266695875,0.00010245209274748175,6.539495281754154e-06,0.001977107406850339,0.010430494974397875,0.8132254752578196,0.8132254752578196,0.24038842110737324
