variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_yang_refusal,rank_zhao_topk,rank_zhao_relative_epsilon,rank_wang,rank_wang_robust,percentile_siren,percentile_yang_harmfulness,percentile_yang_refusal,percentile_zhao_topk,percentile_zhao_relative_epsilon,percentile_wang,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,25,10021,12329,5712,269,51,47,27,78,0.026872965944488403,0.012449019184699326,0.0005841949118367045,0.0001089915880292359,0.00010027226098689703,5.667562577520267e-05,0.0001678470455650233,0.005762852365911542,5,yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,42
rank_consensus,12,11262,7317,3023,5820,1274,524,355,624,0.015947649160437796,0.006587451580487018,0.012684441014842474,0.002774925831224346,0.0011400520107858075,0.0007716604432469902,0.0013580351868442793,0.005894887889695529,4,zhao_topk;zhao_relative_epsilon;wang;wang_robust,43
rank_consensus,29,4145,9288,2066,954,2966,2102,932,693,0.020244097560550275,0.004501352585607443,0.0020773796678372363,0.006463201170133689,0.004579826528988492,0.0020294233691043723,0.0015084435783246249,0.00591481778007802,5,yang_harmfulness;yang_refusal;zhao_relative_epsilon;wang;wang_robust,44
rank_consensus,29,3438,4024,6097,2553,3056,3296,249,242,0.008769463172832321,0.013288254412524441,0.0055629306530122005,0.006659386028586314,0.007182545651126646,0.0005405982766250101,0.0005253394543009171,0.006075502521286836,2,wang;wang_robust,45
rank_consensus,30,7872,14978,221,1895,1297,718,241,221,0.03264734027827732,0.00047956298732863796,0.004128601354547456,0.0028250619617177946,0.001562939372339243,0.0005231596225403324,0.00047956298732863796,0.006092318366297061,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust,46
rank_consensus,31,9825,1173,6,161,1265,17505,147,45,0.0025547628234052896,1.089915880292359e-05,0.0003487730816935549,0.0027553073453790836,0.0381557751372749,0.00031825543704536884,9.59125974657276e-05,0.00631995508300955,6,siren;yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,47
rank_consensus,31,7450,12594,7,66,1188,6917,231,76,0.027450621361043356,1.3078990563508308e-05,0.00014168906443800668,0.0025874602998140605,0.015075716456203911,0.0005013613049344852,0.00016348738204385386,0.006561916408434455,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,48
rank_consensus,28,11702,4524,5724,1875,1018,7005,537,471,0.00985937905312468,0.012475177165826341,0.004085004719335762,0.0022168889005146583,0.015267541651135365,0.001168389823673409,0.0010245209274748176,0.0065852717487264335,4,yang_refusal;zhao_topk;wang;wang_robust,49
rank_consensus,31,3175,11312,44,95,1123,8555,83,26,0.024656077043973747,9.373276570514288e-05,0.0002049041854949635,0.0024457712353760535,0.01864628088004168,0.00017874620436794688,5.449579401461795e-05,0.0066114297298534505,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,50
rank_consensus,30,2458,4716,903,860,7746,5670,1083,672,0.010277906751156946,0.0019662082480474156,0.0018724754823422729,0.016882796985728643,0.012357466250754767,0.002358577964952665,0.001462667111352346,0.0067397283991907225,4,yang_harmfulness;yang_refusal;wang;wang_robust,51
