layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_yang_refusal,percentile_yang_refusal,rank_zhao_topk,percentile_zhao_topk,rank_zhao_relative_epsilon,percentile_zhao_relative_epsilon,rank_wang,percentile_wang,rank_wang_robust,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
11,3969,1342,0.002923154390944107,2025,0.0044119794834234696,2027,0.004416339146944639,6150,0.013403785495835431,4241,0.009242486664879205,376,0.0008174369102192693,707,0.001538961222972811,0.005250591902174132,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,1251,15796,0.034430442658435624,357,0.0007760201067681596,155,0.0003356940911300466,205,0.00044468567915928247,92,0.00019836469021320934,300,0.0006517696964148307,295,0.0006408705376119071,0.005353978208533295,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,1209,15843,0.0345328947511831,257,0.0005580369307096878,5,8.719327042338873e-06,103,0.00022234283957964124,460,0.0010005427781083855,411,0.0008937310218397344,129,0.0002790184653548439,0.005356469444831105,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,5905,13745,0.029959607717476366,312,0.0006779276775418473,1355,0.0029514922038317085,194,0.0004207075297928506,101,0.0002179831760584718,1209,0.0026332367667863395,723,0.0015738385311421664,0.005490684800375678,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,12258,15256,0.033253333507719876,1164,0.0025351443375600273,548,0.0011923679730398407,479,0.0010419595815594953,159,0.00034441341817238546,154,0.00033351425936946187,131,0.00028337812887601336,0.005569158743756729,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,5081,10037,0.021876791549228232,625,0.001360215018604864,2754,0.006001076836889729,1175,0.002559122486926459,422,0.0009177091712061663,2004,0.00436620301645119,1065,0.00231934099326214,0.005628637010366969,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
19,4513,2958,0.0064457625160490115,9492,0.02068878323970956,4800,0.010461012619046061,167,0.0003618520722570632,705,0.0015346015594516415,20,4.1416803451109644e-05,61,0.0001307899056350831,0.00566631695937136,6,siren;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,8392,14256,0.031073501747135156,1316,0.0028664787651689044,49,0.00010463192450806646,710,0.0015455007182545652,345,0.000749862125641143,938,0.002042502359667881,595,0.0012948200657873226,0.00566818538659472,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
25,10021,12329,0.026872965944488403,5712,0.012449019184699326,269,0.0005841949118367045,51,0.0001089915880292359,47,0.00010027226098689703,27,5.667562577520267e-05,78,0.0001678470455650233,0.005762852365911542,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
12,11262,7317,0.015947649160437796,3023,0.006587451580487018,5820,0.012684441014842474,1274,0.002774925831224346,524,0.0011400520107858075,355,0.0007716604432469902,624,0.0013580351868442793,0.005894887889695529,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
