variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,9416,6442,31,63,2581,0.014040296369926169,6.539495281754155e-05,0.00013514956915625253,0.005623965942308573,0.004966201708552134,2,yang_harmfulness;wang_robust,47
rank_consensus,19,10348,1088,3428,9,5050,0.0023694771237555887,0.007470283443523829,1.7438654084677745e-05,0.011005970559192241,0.005215792445139084,1,wang_robust,48
rank_consensus,31,12446,4066,2155,43,3370,0.008861016106776878,0.004695357612299483,9.155293394455816e-05,0.007343853201409915,0.005247944963607708,1,wang_robust,49
rank_consensus,30,14215,6598,2725,29,361,0.014380350124577385,0.005937861715832772,6.103528929637211e-05,0.0007847394338104985,0.005290996640879257,2,wang_robust;zhao_topk,50
rank_consensus,31,8583,2079,251,485,7101,0.0045296903984950445,0.0005449579401461795,0.0010550385721230036,0.015476805500151498,0.005401623102728932,1,yang_harmfulness,51
rank_consensus,19,5247,879,8151,81,999,0.0019138922857933824,0.017765628848765452,0.00017438654084677745,0.0021754720970635485,0.005507344943117291,1,wang_robust,52
rank_consensus,29,5230,2411,3702,243,3832,0.00525339454300917,0.008067557345924042,0.0005275192860615018,0.008350935474800055,0.005549851662448693,1,wang_robust,53
rank_consensus,20,9059,2377,3495,400,3921,0.00517928026314929,0.007616332171483005,0.0008697528724733025,0.008544940501492095,0.005552576452149423,1,wang_robust,54
rank_consensus,31,5617,7098,199,948,2084,0.015470266004869743,0.00043160668859577417,0.002064300677273728,0.004540589557297968,0.005626690732009304,1,yang_harmfulness,55
rank_consensus,27,13988,3429,2044,340,4556,0.007472463275284414,0.004453396286874579,0.0007389629668382194,0.00992913366946339,0.005648489049615151,1,wang_robust,56
rank_consensus,30,6894,9723,214,49,411,0.021192324376404628,0.00046430416500454493,0.00010463192450806646,0.0008937310218397344,0.005663747871939243,3,yang_harmfulness;wang_robust;zhao_topk,57
rank_consensus,29,9923,2925,1269,409,5860,0.006373828067949716,0.0027640266724214225,0.0008893713583185649,0.012771634285265863,0.0056997150959888915,1,wang_robust,58
