variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score
quota,31,3409,yang_harmfulness,wang_robust,2,14,2013,4,48,1934,0.0043858215022964525,6.539495281754154e-06,0.00010245209274748175,0.00421361479321026,0.0021771069708839868
quota,26,7711,wang_robust,siren,2,15,35,192432,6,64135,7.411427985988042e-05,0.41946720552107786,1.089915880292359e-05,0.1398013301333403,0.13983838727327025
quota,0,8268,zhao_topk,wang_robust,2,16,127883,142074,133,5,0.27876124520709494,0.30969523772155266,0.0002877377923971828,8.719327042338873e-06,0.1471882350120218
quota,4,7096,siren,,1,17,5,316112,456166,113848,8.719327042338873e-06,0.6890687976701958,0.9943629550671279,0.2481673064472884,0.48290194462791364
quota,31,12004,yang_harmfulness,wang_robust,2,18,15091,5,14,1494,0.032893661267223394,8.719327042338873e-06,2.8337812887601334e-05,0.003254488818552984,0.00904630180642658
quota,0,8092,wang_robust,zhao_topk,2,19,1061,286495,7,216,0.0023106216662198012,0.6245087204169583,1.3078990563508308e-05,0.00046866382852571437,0.1568252712255668
quota,5,7012,zhao_topk,,1,20,75122,31496,441529,7,0.1637511416868846,0.0686538012996157,0.9624567575874494,1.3078990563508308e-05,0.2987186948911283
quota,5,4011,siren,,1,21,6,380245,454498,417732,1.089915880292359e-05,0.8288679479717755,0.9907269956904726,0.9105833011808149,0.6825472860004664
quota,31,9825,yang_harmfulness,wang_robust,2,22,1173,6,45,1265,0.0025547628234052896,1.089915880292359e-05,9.59125974657276e-05,0.0027553073453790836,0.001354220481263256
quota,20,9424,wang_robust,siren,2,23,77,123449,8,72127,0.00016566721380443857,0.26909587118066225,1.5258822324093028e-05,0.15722254556393336,0.10662483569518105
quota,11,11321,zhao_topk,,1,24,47411,5113,445851,8,0.10334582376932148,0.011143299960109078,0.9718779904566965,1.5258822324093028e-05,0.2715955932521128
quota,6,9908,siren,,1,25,7,351953,458568,49637,1.3078990563508308e-05,0.7671961478013127,0.9995989109560525,0.10819812926838307,0.468751566754078
quota,31,7450,yang_harmfulness,wang_robust,2,26,12594,7,76,1188,0.027450621361043356,1.3078990563508308e-05,0.00016348738204385386,0.0025874602998140605,0.007553662008366196
quota,19,10348,wang_robust,,1,27,1088,3428,9,5050,0.0023694771237555887,0.007470283443523829,1.7438654084677745e-05,0.011005970559192241,0.005215792445139084
quota,13,4208,zhao_topk,,1,28,37077,5993,244860,9,0.080819442355439,0.013061551909423631,0.5337514250650135,1.7438654084677745e-05,0.1569124644959902
quota,7,5489,siren,,1,29,8,281165,451241,200435,1.5258822324093028e-05,0.6128902171330417,0.9836272836462482,0.4369123991010374,0.5083612896756629
quota,31,5311,yang_harmfulness,zhao_topk,2,30,20696,8,257931,257,0.04511161828530074,1.5258822324093028e-05,0.5622440060076164,0.0005580369307096878,0.15198223001148772
quota,30,2653,wang_robust,siren,2,31,31,219726,10,7551,6.539495281754155e-05,0.4789635335944772,1.9618485845262463e-05,0.01645772979241462,0.12387656920638865
quota,14,12639,zhao_topk,,1,32,32969,743,193693,10,0.07186469348295699,0.0016174351663538608,0.4222159733711752,1.9618485845262463e-05,0.12392943012658283
quota,8,11150,siren,,1,33,9,340221,860,353757,1.7438654084677745e-05,0.7416223615861328,0.0018724754823422729,0.7711285642974075,0.37866021000499184
quota,31,9692,yang_harmfulness,,1,34,4870,9,411078,2832,0.010613600842286993,1.7438654084677745e-05,0.8960787006458841,0.006171103714215337,0.2282202109641178
quota,31,5933,wang_robust,yang_harmfulness,2,35,23486,114,11,1264,0.051193348897332104,0.00024632098894607316,2.179831760584718e-05,0.002753127513618499,0.01355364892937563
quota,16,6521,zhao_topk,wang_robust,2,36,12052,2582,67,11,0.026269152546806437,0.005626145774069158,0.0001438688961985914,2.179831760584718e-05,0.008015241383670008
quota,9,743,siren,,1,37,10,147996,452971,19393,1.9618485845262463e-05,0.3226042014077353,0.9873983925920597,0.04227129750125885,0.3380733774967248
quota,31,1166,yang_harmfulness,,1,38,45710,10,308002,10838,0.09963792994456688,1.9618485845262463e-05,0.6713903620918538,0.023622836789456588,0.19866768682793062
