layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_wang_robust,percentile_wang_robust,rank_zhao_topk,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
30,13047,4235,0.009229407674315696,2776,0.006049033135622593,44,9.373276570514288e-05,548,0.0011923679730398407,0.004141135387170818,1,wang_robust
30,4438,5445,0.011867004104623205,386,0.0008392352278251164,289,0.0006277915470483988,1506,0.0032806467996800005,0.00415366941979418,2,yang_harmfulness;wang_robust
31,13801,5354,0.011668639414409996,112,0.0002419613254249037,18,3.705713992994021e-05,2444,0.005325328991108466,0.004318246717718326,2,yang_harmfulness;wang_robust
15,6164,4232,0.009222868179033943,3593,0.007829955684020307,307,0.0006670285187389237,71,0.00015258822324093027,0.004468110151258526,2,wang_robust;zhao_topk
30,5549,1099,0.0023934552731220203,1336,0.0029100754003805987,406,0.0008828318630368108,5421,0.011814688142369172,0.00450026266972715,1,wang_robust
31,12913,3467,0.007555296882186633,2,2.179831760584718e-06,4,6.539495281754154e-06,4900,0.010678995795104534,0.004560753001083376,2,yang_harmfulness;wang_robust
31,515,698,0.0015193427371275486,5080,0.011071365512009783,72,0.00015476805500151499,2580,0.005621786110547988,0.004591815603671709,1,wang_robust
31,3811,6493,0.01415146778971599,43,9.155293394455816e-05,13,2.6157981127016616e-05,2192,0.0047760113874411175,0.004761297523057171,2,yang_harmfulness;wang_robust
30,5948,8135,0.017730751540596095,377,0.000819616741979854,35,7.411427985988042e-05,212,0.0004599445014833755,0.004771106765979802,3,yang_harmfulness;wang_robust;zhao_topk
30,12446,4642,0.010116599200873676,74,0.00015912771852268442,112,0.0002419613254249037,4268,0.009301342122414992,0.004954757591809064,2,yang_harmfulness;wang_robust
31,10492,2461,0.005362386131038406,288,0.0006256117152878141,4850,0.010570004207075299,1503,0.0032741073043982467,0.0049580273394499415,1,yang_harmfulness
31,9416,6442,0.014040296369926169,31,6.539495281754155e-05,63,0.00013514956915625253,2581,0.005623965942308573,0.004966201708552134,2,yang_harmfulness;wang_robust
19,10348,1088,0.0023694771237555887,3428,0.007470283443523829,9,1.7438654084677745e-05,5050,0.011005970559192241,0.005215792445139084,1,wang_robust
31,12446,4066,0.008861016106776878,2155,0.004695357612299483,43,9.155293394455816e-05,3370,0.007343853201409915,0.005247944963607708,1,wang_robust
30,14215,6598,0.014380350124577385,2725,0.005937861715832772,29,6.103528929637211e-05,361,0.0007847394338104985,0.005290996640879257,2,wang_robust;zhao_topk
31,8583,2079,0.0045296903984950445,251,0.0005449579401461795,485,0.0010550385721230036,7101,0.015476805500151498,0.005401623102728932,1,yang_harmfulness
19,5247,879,0.0019138922857933824,8151,0.017765628848765452,81,0.00017438654084677745,999,0.0021754720970635485,0.005507344943117291,1,wang_robust
29,5230,2411,0.00525339454300917,3702,0.008067557345924042,243,0.0005275192860615018,3832,0.008350935474800055,0.005549851662448693,1,wang_robust
20,9059,2377,0.00517928026314929,3495,0.007616332171483005,400,0.0008697528724733025,3921,0.008544940501492095,0.005552576452149423,1,wang_robust
31,5617,7098,0.015470266004869743,199,0.00043160668859577417,948,0.002064300677273728,2084,0.004540589557297968,0.005626690732009304,1,yang_harmfulness
27,13988,3429,0.007472463275284414,2044,0.004453396286874579,340,0.0007389629668382194,4556,0.00992913366946339,0.005648489049615151,1,wang_robust
30,6894,9723,0.021192324376404628,214,0.00046430416500454493,49,0.00010463192450806646,411,0.0008937310218397344,0.005663747871939243,3,yang_harmfulness;wang_robust;zhao_topk
29,9923,2925,0.006373828067949716,1269,0.0027640266724214225,409,0.0008893713583185649,5860,0.012771634285265863,0.0056997150959888915,1,wang_robust
29,3400,3976,0.008664831248324255,4693,0.010227770620663497,226,0.0004904621461315616,1681,0.0036621173577823262,0.00576129534322541,1,wang_robust
30,625,3790,0.008259382540855497,1001,0.002179831760584718,285,0.0006190722200060599,5546,0.012087167112442261,0.005786363408472134,1,wang_robust
31,4179,8539,0.018611403571872322,160,0.0003465932499329702,194,0.0004207075297928506,1924,0.004191816475604413,0.0058926302068006385,2,yang_harmfulness;wang_robust
30,3700,9547,0.02080867398654172,767,0.001669751128607894,111,0.00023978149366431898,400,0.0008697528724733025,0.0058969898703218095,2,wang_robust;zhao_topk
31,5253,9689,0.02111821009654475,75,0.00016130755028326914,15,3.0517644648186055e-05,1335,0.002907895568620014,0.006054482715024055,2,yang_harmfulness;wang_robust
31,12525,3292,0.0071738263240843075,77,0.00016566721380443857,5222,0.011380901622012813,2594,0.005652303755196174,0.006093174728774433,1,yang_harmfulness
29,11794,10135,0.022090415061765532,707,0.001538961222972811,97,0.00020926384901613293,284,0.0006168923882454752,0.006113883130499988,2,wang_robust;zhao_topk
31,6575,962,0.002094818321921914,380,0.0008261562372616081,390,0.0008479545548674553,9602,0.02092856473337388,0.006174373461856214,2,yang_harmfulness;wang_robust
24,9648,269,0.0005841949118367045,7490,0.016324760055018955,942,0.0020512216867102197,2663,0.00580271214667652,0.006190722200060599,1,siren
29,11909,9897,0.02157161510274637,1174,0.0025569426551658742,241,0.0005231596225403324,229,0.0004970016414133158,0.006287179755466473,2,wang_robust;zhao_topk
31,7278,7850,0.017109499488829453,188,0.00040762853922934227,114,0.00024632098894607316,3541,0.007716604432469902,0.006370013362368692,2,yang_harmfulness;wang_robust
31,8410,188,0.00040762853922934227,666,0.0014495881207888376,1286,0.0028010838123513626,9817,0.021397228561899594,0.006513882258567284,1,siren
31,1506,4952,0.01079234704665494,193,0.00041852769803226586,300,0.0006517696964148307,6916,0.015073536624443325,0.00673404526638634,2,yang_harmfulness;wang_robust
31,3175,11312,0.024656077043973747,44,9.373276570514288e-05,26,5.449579401461795e-05,1123,0.0024457712353760535,0.006812519209767391,2,yang_harmfulness;wang_robust
31,8990,8922,0.01944627913617627,266,0.0005776554165549503,374,0.0008130772466980998,3066,0.006681184346192161,0.00687954903640537,2,yang_harmfulness;wang_robust
31,1654,9622,0.02097216136858557,235,0.0005100806319768241,244,0.0005296991178220865,2558,0.0055738298118151244,0.006896442732549902,2,yang_harmfulness;wang_robust
30,7305,11850,0.025828826531168324,489,0.0010637578991653425,299,0.000649589864654246,23,4.79562987328638e-05,0.006897532648430194,2,wang_robust;zhao_topk
