layer,neuron_index,score,rank
14,14283,0.22878957221153348,131418
7,2330,0.2287892427890745,131419
23,6926,0.22878563544543598,131420
21,8908,0.22878456189893961,131421
3,2821,0.22878000955402436,131422
28,8875,0.22877897810365172,131423
10,7567,0.22877072582949373,131424
13,13219,0.22876384341426767,131425
24,2316,0.22876366277734284,131426
24,3872,0.22876343143879702,131427
24,6709,0.22875226232501125,131428
26,11042,0.22874542980341142,131429
14,10473,0.22874499387033492,131430
21,1361,0.22874091849973538,131431
3,10175,0.22873626991445872,131432
4,13963,0.22873609166165468,131433
17,218,0.22873577083275423,131434
25,13313,0.22873461493446565,131435
27,5457,0.2287344228501663,131436
1,309,0.22873288902511185,131437
7,1382,0.22873173784734807,131438
26,6531,0.22873112189192663,131439
16,11883,0.2287298746824814,131440
5,3470,0.2287261534428349,131441
4,13142,0.22871750433870977,131442
28,7048,0.22871533972668828,131443
16,5931,0.22871493345088978,131444
21,2793,0.2287134656661828,131445
31,12121,0.2287112541915102,131446
15,10765,0.22871076177401156,131447
8,13772,0.22869937238571994,131448
27,6360,0.2286965335037371,131449
14,9346,0.22869073366935153,131450
0,4885,0.2286882079994049,131451
11,6391,0.22868246298245054,131452
10,2709,0.22868239319321185,131453
21,1366,0.2286795626697496,131454
18,4321,0.2286784005703464,131455
24,7430,0.22867735264029634,131456
10,8188,0.22867303539078523,131457
0,10908,0.22867286889003127,131458
8,8782,0.22867223359045294,131459
12,11990,0.22866541822953457,131460
12,7988,0.2286626477467379,131461
15,7805,0.22866078427613173,131462
29,6298,0.2286593405513417,131463
3,3257,0.22865803302592808,131464
4,12236,0.22865746360505113,131465
15,4036,0.22865688863058192,131466
15,1293,0.22865141255493396,131467
31,7187,0.2286498643027327,131468
31,5277,0.22864672756139753,131469
30,7514,0.2286418167316587,131470
14,6560,0.22864161438495048,131471
12,8840,0.22863885518318597,131472
19,2893,0.22863508578900482,131473
17,2518,0.22863446919012081,131474
24,11945,0.22863235371517238,131475
3,11121,0.22862970138570204,131476
29,8731,0.22862563322408647,131477
1,8944,0.2286255941360213,131478
25,11845,0.22862202770407253,131479
6,1029,0.2286212927107846,131480
17,13791,0.2286196296414092,131481
3,12772,0.22861604581807593,131482
6,6469,0.22861202131452835,131483
5,241,0.22860971566825775,131484
3,443,0.22860896463985217,131485
9,12622,0.22860396611443665,131486
5,7968,0.2286015567511085,131487
22,11123,0.22859338107629967,131488
29,6832,0.22859052928809728,131489
21,12683,0.22858970556198926,131490
2,5057,0.22858969897405992,131491
6,7030,0.22858188581485395,131492
4,10723,0.22858094245931918,131493
7,4249,0.22857849286646686,131494
3,13073,0.22857631527144553,131495
7,13175,0.22857621120441105,131496
10,7160,0.22857364107762548,131497
19,12423,0.22857049156313988,131498
12,12271,0.22856728482711172,131499
9,13675,0.22855789045879565,131500
7,2655,0.22855690650154542,131501
4,9138,0.22855561147519746,131502
25,914,0.22855501326511185,131503
3,11298,0.22855389125061223,131504
24,7813,0.22855200819450433,131505
24,7503,0.22854941049829144,131506
27,7637,0.2285455795207552,131507
26,9080,0.22854261551340044,131508
12,5300,0.22853759212319613,131509
18,4702,0.22853754606525226,131510
17,1731,0.22853475208768143,131511
18,1179,0.228534498001766,131512
10,2048,0.2285312031433173,131513
30,11207,0.22852972766586374,131514
30,3410,0.2285252528273259,131515
13,8244,0.22852295985991788,131516
12,9617,0.22852086935026972,131517
21,2762,0.2285195207476214,131518
6,9927,0.22851681373510838,131519
2,934,0.22851454120195355,131520
6,2239,0.2285114186968395,131521
21,12192,0.2285106420274768,131522
0,8718,0.22850549718253588,131523
9,2542,0.22850546650655826,131524
2,453,0.22850263316765637,131525
22,3612,0.2285021761503025,131526
24,4840,0.22849963041296353,131527
21,12492,0.2284916663164287,131528
2,9618,0.22848878840327927,131529
25,11833,0.22848797116714303,131530
18,1014,0.22848687272768306,131531
6,6290,0.22848212680125066,131532
23,9245,0.2284820423002879,131533
19,4184,0.22848061983142554,131534
14,12085,0.22848032160267254,131535
29,1785,0.2284773895960746,131536
2,5790,0.22847137479383858,131537
29,7150,0.22847044206396935,131538
6,6288,0.2284658374979757,131539
2,12371,0.22846553710865142,131540
5,6143,0.22845764275915703,131541
20,170,0.22845732603880048,131542
24,3409,0.22845389330515556,131543
22,6914,0.2284505165250744,131544
16,10921,0.2284470611835559,131545
23,10832,0.22844606815973628,131546
10,12955,0.22842825044344506,131547
11,6093,0.22842803433982842,131548
2,243,0.2284272749062263,131549
15,6211,0.22842389862203613,131550
19,8657,0.22842205191134965,131551
19,8387,0.22842138436110357,131552
16,4309,0.22841699150201264,131553
5,11428,0.22841288718081007,131554
0,13849,0.22840000915277692,131555
13,2793,0.22839603519558083,131556
17,5325,0.22839106496091424,131557
29,115,0.22839012516827964,131558
26,8977,0.22838966256675072,131559
25,13366,0.22838393323505612,131560
3,10680,0.2283837405910765,131561
8,3993,0.22838196553993734,131562
5,2766,0.22837528431337922,131563
7,7527,0.22837240612277726,131564
11,7741,0.22836456239657207,131565
24,6928,0.22836083651949934,131566
4,13856,0.22835859733386288,131567
10,4735,0.228351438402619,131568
11,3549,0.22834802647895347,131569
13,6206,0.22834658021642038,131570
19,11728,0.22834620182441268,131571
27,3681,0.22834461293308309,131572
12,5989,0.22833864553683117,131573
23,3409,0.22833750937661854,131574
2,620,0.22833351546226097,131575
18,13508,0.2283288327056604,131576
10,6783,0.2283213347542533,131577
29,12753,0.22831914396840583,131578
5,8378,0.22831652503388378,131579
17,10095,0.22831642951812858,131580
0,7624,0.2283156968857258,131581
13,4351,0.2283073481872261,131582
29,2063,0.22830718130158079,131583
22,7177,0.22830332736904474,131584
25,14024,0.22830276906426383,131585
25,4847,0.22830055163637153,131586
30,9935,0.22829997567434407,131587
0,12078,0.22829471726731163,131588
19,6778,0.22829362550065266,131589
31,9705,0.2282902998783608,131590
6,8522,0.22828783774096956,131591
11,12987,0.2282852094930693,131592
11,6146,0.22828433536397305,131593
24,5055,0.22828063474060928,131594
29,11885,0.2282793254392846,131595
0,2098,0.22827774706842233,131596
2,7144,0.22827227774315897,131597
16,7402,0.22827183529657427,131598
17,3585,0.22827114445791785,131599
31,12664,0.22825828904476778,131600
5,10005,0.22825381005953235,131601
22,5242,0.2282508095164932,131602
5,12938,0.2282487190334968,131603
29,151,0.22824390181292267,131604
21,75,0.22823618555714195,131605
17,9249,0.22822459639138037,131606
19,10007,0.22822394083649028,131607
7,6491,0.2282199405085218,131608
6,3755,0.2282197542050381,131609
0,8342,0.22821952108269886,131610
20,6048,0.22821339556718986,131611
18,12135,0.22821049054758263,131612
11,5833,0.22820878351919405,131613
28,13337,0.22820130975459293,131614
17,5938,0.22820116901565723,131615
12,287,0.22819937885996208,131616
16,8242,0.22819467362789778,131617
18,500,0.2281925126330931,131618
20,1319,0.22819101526577773,131619
24,11200,0.22818616691956298,131620
24,1455,0.22818586035631938,131621
1,1270,0.22817441658974152,131622
10,4490,0.22817427100505935,131623
27,9553,0.22817123887339671,131624
16,12511,0.22817080110396906,131625
9,9303,0.22816919876300093,131626
3,2336,0.22816900107836574,131627
21,1952,0.2281671183760008,131628
7,9301,0.22816662687042244,131629
