global_rank,layer,neuron_index,layer_rank,abs_weight,entry_threshold
284752,7,4924,8575,0.0013256432,0.98361893
284753,10,11964,8877,0.0013869609,0.98361909
284754,3,2333,6179,0.004415967,0.98361977
284755,18,341,9236,0.0014445181,0.98361992
284756,9,10557,8947,0.0015158558,0.98362067
284757,16,11180,9221,0.0014186001,0.9836207
284758,11,13058,8701,0.0013878646,0.98362091
284759,31,9172,9750,0.00063880009,0.98362111
284760,24,6407,9469,0.0014645115,0.98362117
284761,19,8885,9110,0.0013580989,0.98362176
284762,6,13171,8795,0.001312693,0.98362176
284763,15,2458,9191,0.0014576231,0.9836221
284764,1,5699,7566,0.0020553076,0.98362258
284765,21,10804,9398,0.0014909358,0.9836226
284766,12,9425,8693,0.0013330167,0.98362294
284767,14,2213,8905,0.0014565634,0.9836234
284768,4,618,9307,0.001114162,0.98362349
284769,2,12368,6788,0.0034427799,0.98362355
284770,17,10926,9315,0.0014312011,0.98362362
284771,8,7269,8798,0.0014372525,0.98362375
284772,5,8361,7437,0.0050666505,0.98362384
284773,22,6709,9402,0.0013465517,0.98362399
284774,26,1772,8810,0.0040350594,0.98362403
284775,23,2487,9422,0.0014764115,0.98362413
284776,13,7658,8707,0.0013751882,0.98362425
284777,0,13736,7001,0.009287945,0.98362427
284778,20,1626,9159,0.0012960031,0.98362432
284779,30,7911,10076,0.0011227194,0.98362453
284780,3,600,6180,0.0044152732,0.98362463
284781,7,13791,8576,0.0013250221,0.98362487
284782,25,8041,9581,0.0015293806,0.98362493
284783,27,10466,9712,0.0015311874,0.98362494
284784,10,12015,8878,0.001386713,0.98362528
284785,28,2466,10274,0.0014946602,0.98362585
284786,18,4229,9237,0.0014444427,0.98362659
284787,11,495,8702,0.0013878089,0.98362695
284788,29,1648,10381,0.0012931009,0.98362695
284789,9,11693,8948,0.0015158262,0.98362698
284790,16,7119,9222,0.0014185712,0.98362722
284791,1,3550,7567,0.002054492,0.98362776
284792,6,12117,8796,0.0013125666,0.98362786
284793,24,11675,9470,0.0014644725,0.98362808
284794,19,6400,9111,0.0013576353,0.98362816
284795,31,3220,9751,0.00063877122,0.98362839
284796,2,1296,6789,0.0034421447,0.98362844
284797,15,1049,9192,0.0014568444,0.98362867
284798,12,13392,8694,0.001332553,0.98362894
284799,21,12597,9399,0.0014906573,0.98362938
284800,3,11506,6181,0.0044151489,0.98362949
284801,5,14254,7438,0.0050665392,0.98362956
284802,14,2196,8906,0.0014559394,0.9836296
284803,8,2059,8799,0.001436705,0.9836299
284804,0,10479,7002,0.0092832418,0.9836299
284805,13,5221,8708,0.0013750914,0.98363018
284806,4,13063,9308,0.0011139443,0.98363025
284807,17,11779,9316,0.0014305754,0.9836303
284808,26,9696,8811,0.0040350356,0.98363067
284809,22,3816,9403,0.0013464945,0.98363079
284810,7,2379,8577,0.0013249295,0.98363082
284811,20,9603,9160,0.0012957215,0.98363085
284812,23,9158,9423,0.0014762392,0.98363104
284813,10,3693,8879,0.0013866759,0.98363147
284814,25,4768,9582,0.0015291827,0.98363191
284815,27,13164,9713,0.0015308899,0.98363223
284816,30,12510,10077,0.0011225862,0.9836325
284817,1,9554,7568,0.0020534792,0.98363293
284818,11,2427,8703,0.0013874236,0.98363299
284819,18,2716,9238,0.0014442169,0.98363326
284820,9,4052,8949,0.0015156203,0.98363329
284821,2,9273,6790,0.0034417552,0.98363332
284822,16,13889,9223,0.0014176024,0.98363375
284823,6,3173,8797,0.0013124801,0.98363395
284824,28,9208,10275,0.0014941524,0.98363398
284825,3,2476,6182,0.0044142767,0.98363435
284826,19,1757,9112,0.0013572291,0.98363456
284827,12,4486,8695,0.0013324526,0.98363493
284828,24,12588,9471,0.00146426,0.983635
284829,15,8096,9193,0.0014567998,0.98363517
284830,29,13962,10382,0.001291709,0.98363527
284831,5,5837,7439,0.0050649587,0.98363528
284832,0,1162,7003,0.0092807515,0.98363554
284833,31,4282,9752,0.00063857099,0.98363568
284834,14,12060,8907,0.0014556223,0.9836358
284835,8,13757,8800,0.001435842,0.98363605
284836,13,11390,8709,0.0013750865,0.98363612
284837,21,4234,9400,0.0014903948,0.98363616
284838,7,4507,8578,0.0013247249,0.98363677
284839,17,8982,9317,0.0014304463,0.98363699
284840,4,3997,9309,0.0011133815,0.98363702
284841,26,16,8812,0.0040350016,0.98363731
284842,20,9566,9161,0.0012950065,0.98363738
284843,22,9484,9404,0.0013464295,0.98363759
284844,10,10667,8880,0.0013865152,0.98363767
284845,23,11350,9424,0.00147596,0.98363795
284846,1,3106,7569,0.0020524412,0.9836381
284847,2,4173,6791,0.0034397906,0.98363821
284848,25,8669,9583,0.0015289064,0.98363888
284849,11,1847,8704,0.00138721,0.98363903
284850,3,3344,6183,0.0044134599,0.9836392
284851,27,5091,9714,0.0015308467,0.98363953
284852,9,2537,8950,0.0015154637,0.9836396
284853,18,8546,9239,0.0014437441,0.98363993
284854,6,12022,8798,0.0013122392,0.98364004
284855,16,8415,9224,0.0014174447,0.98364027
284856,30,7551,10078,0.0011222331,0.98364048
284857,12,7609,8696,0.0013324502,0.98364093
284858,19,10278,9113,0.0013570754,0.98364096
284859,5,1396,7440,0.0050598271,0.983641
284860,0,13937,7004,0.0092793182,0.98364118
284861,15,733,9194,0.0014566962,0.98364167
284862,24,7640,9472,0.0014636366,0.98364191
284863,14,10595,8908,0.0014554724,0.98364199
284864,13,12374,8710,0.0013750824,0.98364206
284865,28,8423,10276,0.0014938037,0.98364212
284866,8,10574,8801,0.001435744,0.9836422
284867,7,5553,8579,0.0013246652,0.98364272
284868,21,12265,9401,0.0014901737,0.98364294
284869,31,4667,9753,0.00063842989,0.98364296
284870,2,2034,6792,0.0034375573,0.9836431
284871,1,1774,7570,0.0020521861,0.98364328
284872,29,1752,10383,0.0012916491,0.98364359
284873,17,10458,9318,0.0014301609,0.98364367
284874,4,12499,9310,0.0011132786,0.98364378
284875,10,1249,8881,0.0013864258,0.98364386
284876,20,5500,9162,0.001294951,0.9836439
284877,26,4769,8813,0.0040343562,0.98364396
284878,3,398,6184,0.0044134199,0.98364406
284879,22,4103,9405,0.0013462408,0.98364439
284880,23,10032,9425,0.0014757435,0.98364486
284881,11,8987,8705,0.0013866917,0.98364507
284882,25,3710,9584,0.0015282377,0.98364586
284883,9,3799,8951,0.0015153184,0.98364591
284884,6,9272,8799,0.00131211,0.98364614
284885,18,11398,9240,0.0014435796,0.9836466
284886,5,6040,7441,0.0050563067,0.98364673
284887,16,9202,9225,0.0014174042,0.98364679
284888,0,860,7005,0.0092783058,0.98364681
284889,27,6086,9715,0.001530665,0.98364682
284890,12,5136,8697,0.0013322914,0.98364692
284891,19,3875,9114,0.0013569715,0.98364736
284892,2,1011,6793,0.0034345014,0.98364798
284893,13,3749,8711,0.0013743425,0.983648
284894,15,5914,9195,0.0014566428,0.98364817
284895,14,10218,8909,0.0014551695,0.98364819
284896,8,10,8802,0.0014354244,0.98364835
284897,1,248,7571,0.0020521837,0.98364845
284898,30,12909,10079,0.0011221765,0.98364846
284899,7,471,8580,0.0013241395,0.98364867
284900,24,6571,9473,0.0014634399,0.98364882
284901,3,11778,6185,0.0044129547,0.98364892
284902,21,5825,9402,0.0014895729,0.98364971
284903,10,13298,8882,0.0013864071,0.98365005
284904,31,13740,9754,0.0006382321,0.98365024
284905,28,12329,10277,0.0014937496,0.98365025
284906,17,84,9319,0.0014301247,0.98365035
284907,20,4950,9163,0.0012948591,0.98365043
284908,4,1919,9311,0.0011130105,0.98365055
284909,26,9340,8814,0.0040334985,0.9836506
284910,11,13692,8706,0.0013864703,0.9836511
284911,22,10847,9406,0.001346065,0.98365119
284912,23,12953,9426,0.0014756486,0.98365178
284913,29,14299,10384,0.0012908319,0.9836519
284914,9,6262,8952,0.0015133328,0.98365222
284915,6,7166,8800,0.0013120167,0.98365223
284916,0,1614,7006,0.0092780758,0.98365245
284917,5,6019,7442,0.0050527826,0.98365245
284918,25,11328,9585,0.0015279568,0.98365284
284919,2,1727,6794,0.0034344806,0.98365287
284920,12,10417,8698,0.0013322381,0.98365291
284921,18,9675,9241,0.0014431759,0.98365327
284922,16,7245,9226,0.0014168957,0.98365331
284923,1,1824,7572,0.0020509295,0.98365362
284924,19,11056,9115,0.0013568691,0.98365376
284925,3,10025,6186,0.0044129263,0.98365378
284926,13,14235,8712,0.0013740258,0.98365393
284927,27,2037,9716,0.0015301964,0.98365411
284928,14,9815,8910,0.0014550372,0.98365439
284929,8,14115,8803,0.0014354022,0.9836545
284930,7,775,8581,0.0013239516,0.98365462
284931,15,6574,9196,0.0014565261,0.98365467
284932,24,13336,9474,0.001463362,0.98365574
284933,10,9277,8883,0.0013863479,0.98365625
284934,30,13298,10080,0.001122019,0.98365643
284935,21,13959,9403,0.0014895544,0.98365649
284936,20,8127,9164,0.0012946895,0.98365696
284937,17,2713,9320,0.0014300345,0.98365704
