rank,neuron_id,layer,neuron_idx,score,importance
48,438472,30,8392,-0.0008108961628749967,0.0008108961628749967
49,448768,31,4352,-0.0008000288507901132,0.0008000288507901132
50,445466,31,1050,-0.000790847756434232,0.000790847756434232
51,448101,31,3685,-0.0007793150725774467,0.0007793150725774467
52,457007,31,12591,-0.0007642988348379731,0.0007642988348379731
53,454206,31,9790,0.0007636803202331066,0.0007636803202331066
54,445271,31,855,0.0007630003965459764,0.0007630003965459764
55,447159,31,2743,-0.0007585567072965205,0.0007585567072965205
56,458489,31,14073,-0.0007500237552449107,0.0007500237552449107
57,445511,31,1095,-0.0007471382850781083,0.0007471382850781083
58,458529,31,14113,-0.0007414566352963448,0.0007414566352963448
59,445909,31,1493,0.0007372650434263051,0.0007372650434263051
60,447370,31,2954,0.0007241761195473373,0.0007241761195473373
61,448852,31,4436,0.0007189260213635862,0.0007189260213635862
62,446893,31,2477,0.0007114079198800027,0.0007114079198800027
63,452089,31,7673,0.0007089737337082624,0.0007089737337082624
64,445416,31,1000,0.0006912043900229037,0.0006912043900229037
65,451866,31,7450,0.0006868048803880811,0.0006868048803880811
66,445582,31,1166,-0.0006863489397801459,0.0006863489397801459
67,456056,31,11640,-0.0006860224530100822,0.0006860224530100822
68,445922,31,1506,0.0006562463822774589,0.0006562463822774589
69,454452,31,10036,0.0006556102307513356,0.0006556102307513356
70,448023,31,3607,-0.0006540404283441603,0.0006540404283441603
71,452570,31,8154,-0.0006394810043275356,0.0006394810043275356
72,449864,31,5448,0.0006377747631631792,0.0006377747631631792
73,450188,31,5772,-0.0006359366234391928,0.0006359366234391928
74,457526,31,13110,-0.000634420313872397,0.000634420313872397
75,456774,31,12358,0.0006342611741274595,0.0006342611741274595
76,431251,30,1171,-0.000633776537142694,0.000633776537142694
77,458640,31,14224,0.0006200330681167543,0.0006200330681167543
78,451781,31,7365,-0.0006194106535986066,0.0006194106535986066
79,453535,31,9119,-0.0006191518041305244,0.0006191518041305244
80,454074,31,9658,0.0006187306717038155,0.0006187306717038155
81,450391,31,5975,-0.0006056656129658222,0.0006056656129658222
82,447844,31,3428,-0.0006010525394231081,0.0006010525394231081
83,457479,31,13063,-0.0006000626599416137,0.0006000626599416137
84,444676,31,260,0.0005999928689561784,0.0005999928689561784
85,454875,31,10459,-0.0005966205499134958,0.0005966205499134958
86,445379,31,963,-0.0005893743364140391,0.0005893743364140391
87,454274,31,9858,0.0005866464925929904,0.0005866464925929904
88,445369,31,953,0.0005853648763149977,0.0005853648763149977
89,453049,31,8633,0.0005798759520985186,0.0005798759520985186
90,448107,31,3691,0.0005794515600427985,0.0005794515600427985
91,449498,31,5082,-0.0005686336662620306,0.0005686336662620306
92,455478,31,11062,-0.0005623593460768461,0.0005623593460768461
93,454626,31,10210,-0.000561631575692445,0.000561631575692445
94,447591,31,3175,0.0005547992186620831,0.0005547992186620831
95,455730,31,11314,-0.0005490680923685431,0.0005490680923685431
96,449038,31,4622,0.0005429204902611673,0.0005429204902611673
97,434050,30,3970,0.0005394609179347754,0.0005394609179347754
98,452866,31,8450,0.0005351979634724557,0.0005351979634724557
99,447903,31,3487,0.0005336134345270693,0.0005336134345270693
100,439537,30,9457,-0.000527359894476831,0.000527359894476831
101,430715,30,635,-0.0005270602414384484,0.0005270602414384484
102,455219,31,10803,0.0005260146572254598,0.0005260146572254598
103,447191,31,2775,-0.0005188671639189124,0.0005188671639189124
104,453406,31,8990,0.0005154249956831336,0.0005154249956831336
105,416990,29,1246,-0.0005138955893926322,0.0005138955893926322
106,448185,31,3769,0.0005063563585281372,0.0005063563585281372
107,448595,31,4179,0.000502529030200094,0.000502529030200094
108,454108,31,9692,0.0005016084178350866,0.0005016084178350866
109,454908,31,10492,0.0004989440785720944,0.0004989440785720944
110,429864,29,14120,0.000498393492307514,0.000498393492307514
111,458224,31,13808,-0.0004976093769073486,0.0004976093769073486
112,431873,30,1793,-0.0004923591623082757,0.0004923591623082757
113,431642,30,1562,0.000488900812342763,0.000488900812342763
114,427653,29,11909,0.00048669317038729787,0.00048669317038729787
115,438806,30,8726,0.0004860298940911889,0.0004860298940911889
116,445090,31,674,-0.0004809364618267864,0.0004809364618267864
117,423072,29,7328,-0.0004795841814484447,0.0004795841814484447
118,457366,31,12950,-0.00047875160817056894,0.00047875160817056894
119,432306,30,2226,-0.0004749465733766556,0.0004749465733766556
120,447964,31,3548,0.000473992113256827,0.000473992113256827
121,455758,31,11342,-0.0004708754422608763,0.0004708754422608763
122,457830,31,13414,0.0004675051022786647,0.0004675051022786647
123,446492,31,2076,-0.00046625337563455105,0.00046625337563455105
124,452688,31,8272,-0.0004658991238102317,0.0004658991238102317
125,447364,31,2948,0.0004402149352245033,0.0004402149352245033
126,455500,31,11084,0.0004330648516770452,0.0004330648516770452
