rank,neuron_id,layer,neuron_idx,score,importance
747,440191,30,10111,-0.00010420053877169266,0.00010420053877169266
748,446539,31,2123,0.00010414565622340888,0.00010414565622340888
749,439671,30,9591,0.00010386719804955646,0.00010386719804955646
750,445065,31,649,0.00010379732702858746,0.00010379732702858746
751,401747,28,339,0.00010377911530667916,0.00010377911530667916
752,403289,28,1881,-0.00010355775884818286,0.00010355775884818286
753,454986,31,10570,0.00010341314919060096,0.00010341314919060096
754,439545,30,9465,0.00010328690405003726,0.00010328690405003726
755,453927,31,9511,-0.00010326267511118203,0.00010326267511118203
756,422057,29,6313,-0.00010308328637620434,0.00010308328637620434
757,449207,31,4791,-0.0001029229533742182,0.0001029229533742182
758,447214,31,2798,-0.00010278026456944644,0.00010278026456944644
759,455411,31,10995,0.00010271045175613835,0.00010271045175613835
760,439218,30,9138,0.00010248069884255528,0.00010248069884255528
761,448476,31,4060,0.00010205416037933901,0.00010205416037933901
762,451276,31,6860,-0.00010187811858486384,0.00010187811858486384
763,449260,31,4844,0.0001018553739413619,0.0001018553739413619
764,434386,30,4306,0.00010155130439670756,0.00010155130439670756
765,441991,30,11911,0.00010152917820960283,0.00010152917820960283
766,433780,30,3700,-0.00010135907359654084,0.00010135907359654084
767,457458,31,13042,0.00010128280700882897,0.00010128280700882897
768,447739,31,3323,0.00010126607958227396,0.00010126607958227396
769,453647,31,9231,0.00010122636740561575,0.00010122636740561575
770,451651,31,7235,0.00010064418165711686,0.00010064418165711686
771,455707,31,11291,-0.00010053197183879092,0.00010053197183879092
772,452572,31,8156,0.00010033646685769781,0.00010033646685769781
773,446611,31,2195,0.00010027604002971202,0.00010027604002971202
774,454185,31,9769,-0.00010021922207670286,0.00010021922207670286
775,449819,31,5403,-0.00010002398630604148,0.00010002398630604148
776,444526,31,110,-0.00010000134352594614,0.00010000134352594614
777,295958,20,9238,9.970890096155927e-05,9.970890096155927e-05
778,457881,31,13465,9.940482414094731e-05,9.940482414094731e-05
779,455338,31,10922,9.930019587045535e-05,9.930019587045535e-05
780,457020,31,12604,-9.923549805535004e-05,9.923549805535004e-05
781,439495,30,9415,-9.91745910141617e-05,9.91745910141617e-05
782,457942,31,13526,9.909822983900085e-05,9.909822983900085e-05
783,431544,30,1464,-9.896288975141943e-05,9.896288975141943e-05
784,453370,31,8954,-9.888000931823626e-05,9.888000931823626e-05
785,457785,31,13369,9.881542791845277e-05,9.881542791845277e-05
786,455313,31,10897,9.860420686891302e-05,9.860420686891302e-05
787,457478,31,13062,-9.845949534792453e-05,9.845949534792453e-05
788,458474,31,14058,9.842179133556783e-05,9.842179133556783e-05
