rank,neuron_id,layer,neuron_idx,score,importance
197,452267,31,7851,0.09218404442071915,0.09218404442071915
198,451073,31,6657,0.09185135364532471,0.09185135364532471
199,445511,31,1095,0.09152127057313919,0.09152127057313919
200,431210,30,1130,0.09151117503643036,0.09151117503643036
201,452866,31,8450,0.09146477282047272,0.09146477282047272
202,450033,31,5617,0.09138074517250061,0.09138074517250061
203,446247,31,1831,0.09136567264795303,0.09136567264795303
204,431016,30,936,0.09096648544073105,0.09096648544073105
205,452761,31,8345,0.09061800688505173,0.09061800688505173
206,442265,30,12185,0.09061016887426376,0.09061016887426376
207,457277,31,12861,0.09049644321203232,0.09049644321203232
208,455313,31,10897,0.09043092280626297,0.09043092280626297
209,432538,30,2458,0.0903455913066864,0.0903455913066864
210,450515,31,6099,0.09032605588436127,0.09032605588436127
211,455660,31,11244,0.09013126790523529,0.09013126790523529
212,445171,31,755,0.08979086577892303,0.08979086577892303
213,458489,31,14073,0.0895613580942154,0.0895613580942154
214,450299,31,5883,0.08940934389829636,0.08940934389829636
215,438472,30,8392,0.08909077942371368,0.08909077942371368
216,455250,31,10834,0.08896388113498688,0.08896388113498688
217,446516,31,2100,0.08893903344869614,0.08893903344869614
218,454074,31,9658,0.08887194842100143,0.08887194842100143
219,449055,31,4639,0.0887230932712555,0.0887230932712555
220,445802,31,1386,0.088251493871212,0.088251493871212
221,455372,31,10956,0.08797115832567215,0.08797115832567215
222,454079,31,9663,0.08776983618736267,0.08776983618736267
223,449184,31,4768,0.08761594444513321,0.08761594444513321
224,449457,31,5041,0.08721573650836945,0.08721573650836945
225,447984,31,3568,0.08699184656143188,0.08699184656143188
226,447159,31,2743,0.0869414210319519,0.0869414210319519
227,447964,31,3548,0.08664870262145996,0.08664870262145996
228,449646,31,5230,0.0864507183432579,0.0864507183432579
229,451435,31,7019,0.0862402394413948,0.0862402394413948
230,455920,31,11504,0.08613818138837814,0.08613818138837814
231,455988,31,11572,0.08611048012971878,0.08611048012971878
232,447880,31,3464,0.08574039489030838,0.08574039489030838
233,451112,31,6696,0.08560337871313095,0.08560337871313095
234,452469,31,8053,0.08551633358001709,0.08551633358001709
235,458217,31,13801,0.0848628357052803,0.0848628357052803
236,446760,31,2344,0.08475036919116974,0.08475036919116974
237,451781,31,7365,0.08462986350059509,0.08462986350059509
238,434807,30,4727,0.0846172422170639,0.0846172422170639
239,423072,29,7328,0.08441667258739471,0.08441667258739471
240,453406,31,8990,0.08416661620140076,0.08416661620140076
241,449515,31,5099,0.08398085087537766,0.08398085087537766
242,444790,31,374,0.0839775875210762,0.0839775875210762
243,455650,31,11234,0.0838090181350708,0.0838090181350708
244,446657,31,2241,0.08376765251159668,0.08376765251159668
245,433112,30,3032,0.08370532840490341,0.08370532840490341
246,444902,31,486,0.08296730369329453,0.08296730369329453
247,428401,29,12657,0.08295872807502747,0.08295872807502747
248,450525,31,6109,0.08290477842092514,0.08290477842092514
249,456945,31,12529,0.08284047245979309,0.08284047245979309
250,457873,31,13457,0.08283840119838715,0.08283840119838715
251,458063,31,13647,0.08265756070613861,0.08265756070613861
252,453366,31,8950,0.08263672888278961,0.08263672888278961
253,446492,31,2076,0.08220724016427994,0.08220724016427994
254,433376,30,3296,0.08212018013000488,0.08212018013000488
255,444931,31,515,0.0814971849322319,0.0814971849322319
256,445413,31,997,0.08145135641098022,0.08145135641098022
257,447477,31,3061,0.08134318143129349,0.08134318143129349
258,444836,31,420,0.08105131983757019,0.08105131983757019
259,448185,31,3769,0.0809243842959404,0.0809243842959404
260,455266,31,10850,0.08063378930091858,0.08063378930091858
261,448107,31,3691,0.08057339489459991,0.08057339489459991
262,453989,31,9573,0.08056781440973282,0.08056781440973282
263,448281,31,3865,0.08047684282064438,0.08047684282064438
264,433411,30,3331,0.08045578747987747,0.08045578747987747
265,455826,31,11410,0.0804310292005539,0.0804310292005539
266,452609,31,8193,0.08033981919288635,0.08033981919288635
267,446890,31,2474,0.08022736012935638,0.08022736012935638
268,448175,31,3759,0.08009729534387589,0.08009729534387589
269,446452,31,2036,0.07997562736272812,0.07997562736272812
270,453587,31,9171,0.07980763167142868,0.07980763167142868
271,455132,31,10716,0.07972404360771179,0.07972404360771179
272,455036,31,10620,0.07927483320236206,0.07927483320236206
