method_a,method_b,layer_a,layer_b,cka,null_mean,null_std,z
siren,wang,4,18,0.3216338761847614,0.17544898977927725,0.011939340010423056,12.243967110230935
siren,wang,4,19,0.25353509579895595,0.16035875099272534,0.007913662823210748,11.774111039068366
siren,wang,4,20,0.2660299486439038,0.1503088007314057,0.006206322193938082,18.64568810583613
siren,wang,4,21,0.33441894490994484,0.15972054314329914,0.006453091796854337,27.072046588862293
siren,wang,4,22,0.20391043335573328,0.13711666558896382,0.012016901449084414,5.558318677220955
siren,wang,4,23,0.22826046634018102,0.12362974208997783,0.009032018093917677,11.584423676106605
siren,wang,4,24,0.29306238382186073,0.13630009286785255,0.003379923216913408,46.38042964099215
siren,wang,4,25,0.24201511544938484,0.13705262772720322,0.004495018641091793,23.350845925899723
siren,wang,4,26,0.33586691352279596,0.12431392435950332,0.007042496391381422,30.03948847204101
siren,wang,4,27,0.28196996444595146,0.14419414552482268,0.0039475650959991514,34.90146851809088
siren,wang,4,28,0.32912588908373536,0.13404475807743516,0.00727523641010948,26.814404372512282
siren,wang,4,29,0.22990167716855617,0.14322557409795722,0.008419067998337838,10.295213566122907
siren,wang,4,30,0.30749361191310953,0.17065724110187128,0.004643331871253607,29.469435871766617
siren,wang,4,31,0.3683922526353829,0.17732411777288393,0.021107629268501196,9.052088817365622
siren,wang,5,0,0.4406015486230052,0.23896998106559816,0.021811042328184076,9.244471883714615
siren,wang,5,2,0.45543912735920944,0.2857499059254266,0.014131855061941218,12.007568765036112
siren,wang,5,3,0.5778798038247412,0.3724176197893359,0.01333598251936245,15.406602680912018
siren,wang,5,4,0.5446563964228363,0.3642545549357262,0.012223141269719422,14.759040864071686
siren,wang,5,5,0.620532365287224,0.3946899679064656,0.015659990884831807,14.421617422492133
siren,wang,5,6,0.574155863833781,0.40901544737895873,0.006902699952210191,23.924032276956442
siren,wang,5,7,0.5860885993949007,0.4085370752585232,0.011674916211825955,15.20794846960263
siren,wang,5,8,0.5675079187304329,0.4389535915211461,0.01210775640003774,10.617518470134247
siren,wang,5,9,0.5636776932087826,0.4464368554036291,0.012304323643745275,9.528426039472
siren,wang,5,10,0.5552669382359021,0.4244164486431812,0.004473924825269399,29.247359913974805
siren,wang,5,11,0.5214110935002544,0.44669037560080954,0.008827005501642182,8.465013178653141
siren,wang,5,12,0.49909756915216613,0.44602139652871653,0.004559701141800438,11.640274433094097
siren,wang,5,13,0.5151265141001115,0.4403947746286577,0.006908099891865696,10.81798767262334
siren,wang,5,14,0.5014680522151997,0.4211131508418652,0.008748996544869126,9.184470580281452
siren,wang,5,15,0.4927291005015447,0.41202504863010886,0.00812494440605637,9.932874348195996
siren,wang,5,16,0.45618285659359115,0.37626146419949574,0.015001949451459438,5.3274004590330355
siren,wang,5,17,0.45286412381185176,0.37580694519633,0.013629597558221454,5.653664995342464
siren,wang,5,18,0.4660456352973498,0.3834991892935321,0.01364163998093213,6.051064690110473
siren,wang,5,19,0.41986074663145373,0.3622315334341887,0.009517046188648536,6.055367606180408
siren,wang,5,20,0.40008404657724617,0.3365702337359463,0.009858674414853108,6.442429293091348
siren,wang,5,21,0.47073525954439066,0.34750278441178395,0.00899215697615922,13.704439931301382
siren,wang,5,22,0.34666918173884337,0.30596200125378925,0.010719215520009085,3.797589516608545
siren,wang,5,23,0.37854259766462944,0.27759307490730223,0.020143087074166285,5.011621226956617
siren,wang,5,24,0.4459245373384278,0.30485979874159913,0.008060183935768373,17.501429213151205
siren,wang,5,25,0.39622487719147736,0.31058502678012473,0.013645285558725361,6.276149373553488
siren,wang,5,26,0.4228183135578714,0.2800273651082162,0.008633810480809863,16.538578043499196
siren,wang,5,27,0.4103027012942664,0.3262755370264834,0.015942016679042912,5.270798918322774
siren,wang,5,28,0.4336432551372174,0.3033756453507489,0.009385572462250507,13.879559324741761
siren,wang,5,29,0.3588934039806819,0.318173752492808,0.017229639770038434,2.3633489748685035
siren,wang,5,30,0.42175965934092285,0.3883931004164285,0.02148375940655505,1.553106153028025
siren,wang,5,31,0.47356282138613726,0.38710961948227013,0.004856477122884024,17.80162857073788
siren,wang,6,0,0.365171118592912,0.13423994069956258,0.01862489282748446,12.399060764127885
siren,wang,6,2,0.35060262781422913,0.15272996024593768,0.01034355853016721,19.13003798365829
siren,wang,6,3,0.45921307089959307,0.20439108362919475,0.013447258337667288,18.94973539376522
siren,wang,6,4,0.4345405715915539,0.20537991291293597,0.014354317683292319,15.964580395580143
siren,wang,6,5,0.44032904741095297,0.2117831201222978,0.013806283945658986,16.553761184993974
siren,wang,6,6,0.5934897573368707,0.23442044073116639,0.011656847123631357,30.803296362854464
siren,wang,6,7,0.4898063921362223,0.23499193085724426,0.012996642591293987,19.606175940367063
siren,wang,6,8,0.5058857464185295,0.24799177586544113,0.006280509314587661,41.062588658865806
siren,wang,6,9,0.4652544928269366,0.24920654282383214,0.012769393488288953,16.91920216893982
siren,wang,6,10,0.4859611916745227,0.24047377673507367,0.014638460430175079,16.770029615506015
siren,wang,6,11,0.4506588517278124,0.2536061457950947,0.01919882906175119,10.26378771845494
siren,wang,6,12,0.43078367547860175,0.25377098959086647,0.013555838612438243,13.058040225214558
siren,wang,6,13,0.41876843393492585,0.2512297198668088,0.014897808880342998,11.245862758326629
siren,wang,6,14,0.4469646838927526,0.2336200257028874,0.015718726368162784,13.57264279515549
siren,wang,6,15,0.411589448958345,0.2297027944715532,0.017743963213571072,10.250621707087392
siren,wang,6,16,0.36257291613990306,0.21175222498330765,0.015025531435853652,10.037627740521032
siren,wang,6,17,0.35112576045807037,0.21121648157258582,0.019890916297568003,7.033827742897435
siren,wang,6,18,0.3850070832492052,0.20949404372459193,0.01609820169745924,10.902648806562926
siren,wang,6,19,0.3375730815407574,0.20045680416521766,0.008579704376295723,15.98146875017849
siren,wang,6,20,0.3199577352405532,0.18454228662673872,0.016735678817644525,8.091422528439372
siren,wang,6,21,0.39528909836413645,0.18980101033850114,0.011828268634137131,17.372626069092114
siren,wang,6,22,0.282871732008597,0.16901175581527988,0.01767404956833654,6.442212111778832
siren,wang,6,23,0.2886053339230685,0.15140643250516522,0.00939421525351186,14.604615469782203
siren,wang,6,24,0.3681132291717911,0.16336130019704348,0.01350192808937219,15.16464371750836
siren,wang,6,25,0.30827932733042546,0.16663291227993643,0.009056653439415165,15.64003922619301
siren,wang,6,26,0.3816884510250882,0.1523119532221318,0.015643172114957173,14.663042515759239
siren,wang,6,27,0.3438163211911428,0.1750771927178969,0.010935779757986049,15.430004280217982
siren,wang,6,28,0.3579496399560848,0.16438972837782534,0.011498158302122478,16.83399258318871
siren,wang,6,29,0.29881136200935504,0.17436420351683468,0.01265545345877895,9.833480791333693
siren,wang,6,30,0.36102170731968397,0.20967110418722773,0.018132453194395066,8.346945750244116
siren,wang,6,31,0.4064618102480531,0.21240318009797363,0.02177903862231079,8.910339593745096
siren,wang,7,0,0.287579548060628,0.1384636076561601,0.016832569162084452,8.858774853000648
siren,wang,7,2,0.3141041478468976,0.16908324911319508,0.02081882682012403,6.965853551052237
siren,wang,7,3,0.42239925976709897,0.2115138392440558,0.018424519750885354,11.445911392773723
siren,wang,7,4,0.3968347338469446,0.21246405317120848,0.0058669744269142805,31.42517203244491
siren,wang,7,5,0.41084642059017434,0.21944934867120441,0.012927134301832238,14.805839209997385
siren,wang,7,6,0.46373666128058705,0.24653283435164258,0.019430842355716234,11.178302152456435
siren,wang,7,7,0.6049345874839501,0.2571948370085124,0.02263142413726089,15.365349894305197
siren,wang,7,8,0.501199908008042,0.2757483098453054,0.023370413758404665,9.646880902211576
siren,wang,7,9,0.4938595739653292,0.270615493036655,0.022193291331955408,10.059079457368822
siren,wang,7,10,0.5023953072954146,0.2675596749452232,0.02180880190645845,10.767929084662248
siren,wang,7,11,0.4743016198546322,0.27812531265930124,0.022243625135117955,8.819439547450846
siren,wang,7,12,0.456000880185224,0.2818436070438425,0.024033930004637133,7.246308577406168
siren,wang,7,13,0.44555112294383986,0.2669046207250293,0.017620366102660576,10.138637368711422
siren,wang,7,14,0.46609023393993254,0.26217116854865974,0.01601666083256093,12.731684058434785
siren,wang,7,15,0.4121465024673693,0.24347920760158584,0.013867413746086597,12.1628515564686
siren,wang,7,16,0.3911667207710522,0.23394429335577124,0.025270825521783242,6.221499463076761
