variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,6761,13697,298,0.029854975792968298,0.0006474100328936613,0.01525119291293098,1,yang_harmfulness,218
rank_consensus,27,1633,218,13781,0.0004730234920468838,0.030038081660857415,0.01525555257645215,1,siren,219
rank_consensus,30,1795,13593,411,0.029628273289867488,0.0008937310218397344,0.01526100215585361,1,yang_harmfulness,220
rank_consensus,29,11082,75,13931,0.00016130755028326914,0.030365056424945122,0.015263181987614196,1,siren,221
rank_consensus,31,289,13797,215,0.03007295896902677,0.00046648399676512965,0.015269721482895949,1,yang_harmfulness,222
rank_consensus,31,12973,13582,446,0.029604295140501054,0.0009700251334601995,0.015287160136980628,1,yang_harmfulness,223
rank_consensus,30,5905,13745,312,0.029959607717476366,0.0006779276775418473,0.015318767697509107,1,yang_harmfulness,224
rank_consensus,31,7844,13950,331,0.030406473228396232,0.000719344480992957,0.015562908854694595,1,yang_harmfulness,225
rank_consensus,31,11314,14261,107,0.03108440090593808,0.0002310621666219801,0.01565773153628003,1,yang_harmfulness,226
rank_consensus,31,9047,14143,366,0.030827180758189084,0.0007956385926134221,0.015811409675401254,1,yang_harmfulness,227
rank_consensus,31,1798,14338,175,0.0312522479515031,0.00037929072634174094,0.01581576933892242,1,yang_harmfulness,228
rank_consensus,1,1306,221,14412,0.00047956298732863796,0.03141355550178637,0.015946559244557505,1,siren,229
rank_consensus,28,8985,425,14252,0.0009242486664879204,0.031064782420092817,0.01599451554329037,1,siren,230
rank_consensus,31,1834,14493,224,0.03159012187439374,0.0004861024826103921,0.016038112178502064,1,yang_harmfulness,231
rank_consensus,27,2165,315,14410,0.0006844671728236015,0.0314091958382652,0.016046831505544402,1,siren,232
rank_consensus,31,6432,14750,14,0.032150338636864007,2.8337812887601334e-05,0.016089338224875804,1,yang_harmfulness,233
