variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,10408,6059,246,0.013205420805622222,0.000534058781343256,0.006869739793482739,1,yang_harmfulness,112
rank_consensus,31,12358,6239,78,0.013597790522527471,0.0001678470455650233,0.006882818784046247,1,yang_harmfulness,113
rank_consensus,31,9416,6442,31,0.014040296369926169,6.539495281754155e-05,0.007052845661371855,1,yang_harmfulness,114
rank_consensus,31,3811,6493,43,0.01415146778971599,9.155293394455816e-05,0.007121510361830274,1,yang_harmfulness,115
rank_consensus,16,9600,446,6099,0.0009700251334601995,0.01329261407604561,0.0071313196047529046,1,siren,116
rank_consensus,30,12150,6425,144,0.01400323922999623,0.0003117159417636147,0.007157477585879922,1,yang_harmfulness,117
rank_consensus,29,9571,30,6628,6.321512105695683e-05,0.014445745077394927,0.0072544800992259415,1,siren,118
rank_consensus,9,5767,396,6276,0.0008610335454309636,0.013678444297669106,0.007269738921550035,1,siren,119
rank_consensus,31,3261,6317,360,0.01376781739985308,0.0007825596020499138,0.007275188500951497,1,yang_harmfulness,120
rank_consensus,31,8359,6646,83,0.014484982049085451,0.00017874620436794688,0.007331864126726699,1,yang_harmfulness,121
rank_consensus,31,8382,6722,22,0.01465064926288989,4.577646697227908e-05,0.007348212864931085,1,yang_harmfulness,122
rank_consensus,31,3616,6874,99,0.014981983690498767,0.00021362351253730236,0.007597803601518034,1,yang_harmfulness,123
rank_consensus,31,6772,6619,400,0.014426126591549664,0.0008697528724733025,0.007647939732011484,1,yang_harmfulness,124
rank_consensus,31,10834,7080,49,0.015431029033179219,0.00010463192450806646,0.0077678304788436426,1,yang_harmfulness,125
rank_consensus,31,5617,7098,199,0.015470266004869743,0.00043160668859577417,0.00795093634673276,1,yang_harmfulness,126
rank_consensus,23,3118,216,7392,0.00046866382852571437,0.01611113654248165,0.008289900185503683,1,siren,127
rank_consensus,31,3871,7527,195,0.016405413830160587,0.0004228873615534353,0.008414150595857012,1,yang_harmfulness,128
rank_consensus,24,9648,269,7490,0.0005841949118367045,0.016324760055018955,0.00845447748342783,1,siren,129
