variant,layer,neuron_index,entered_via,also_in,n_methods_at_N,selection_step,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score
quota,17,10712,siren,,1,35,18,29129,3.705713992994021e-05,0.06349413952231167,0.0317655983311208
quota,31,11010,yang_harmfulness,,1,36,22526,18,0.049100710407170775,3.705713992994021e-05,0.02456888377355036
quota,18,8429,siren,,1,37,19,76501,3.9236971690524926e-05,0.16675712968473094,0.08339818332821074
quota,31,1324,yang_harmfulness,,1,38,12433,19,0.027099668447589216,3.9236971690524926e-05,0.01356945270963987
quota,19,11771,siren,,1,39,20,205659,4.1416803451109644e-05,0.44829984021833197,0.22417062851089153
quota,31,14196,yang_harmfulness,,1,40,16952,20,0.036950328173671554,4.1416803451109644e-05,0.01849587248856133
quota,20,13974,siren,,1,41,21,79344,4.359663521169436e-05,0.1729543913800733,0.0864989940076425
quota,31,5371,yang_harmfulness,,1,42,3440,21,0.007496441424650845,4.359663521169436e-05,0.00377001902993127
quota,21,23,siren,,1,43,22,4433,4.577646697227908e-05,0.00966101436291147,0.004853395414941875
quota,31,8382,yang_harmfulness,,1,44,6722,22,0.01465064926288989,4.577646697227908e-05,0.007348212864931085
quota,22,11137,siren,,1,45,23,287380,4.79562987328638e-05,0.6264378715250757,0.3132429139119043
quota,31,850,yang_harmfulness,,1,46,13351,23,0.029100754003805986,4.79562987328638e-05,0.014574355151269425
quota,23,5263,siren,,1,47,24,146139,5.0136130493448515e-05,0.3185562538283295,0.15930319497941148
quota,31,9119,yang_harmfulness,,1,48,21209,24,0.0462298719784807,5.0136130493448515e-05,0.023140004054487073
quota,24,2598,siren,,1,49,25,139091,5.231596225403323e-05,0.30319279957972844,0.15162255777099123
quota,31,3387,yang_harmfulness,,1,50,7775,25,0.016946012106785598,5.231596225403323e-05,0.008499164034519816
quota,25,3787,siren,,1,51,26,43690,5.449579401461795e-05,0.09523466978818575,0.04764458279110018
quota,31,2549,yang_harmfulness,,1,52,15585,26,0.033970498156952245,5.449579401461795e-05,0.017012496975483432
quota,26,5848,siren,,1,53,27,280117,5.667562577520267e-05,0.6106057534479489,0.305331214536862
quota,30,2792,yang_harmfulness,,1,54,12787,27,0.027871328890836204,5.667562577520267e-05,0.013964002258305703
quota,27,2170,siren,,1,55,28,1431,5.8855457535787386e-05,0.003117159417636147,0.0015880074375859672
quota,31,12591,yang_harmfulness,,1,56,3695,28,0.00805229852359995,5.8855457535787386e-05,0.004055576990567868
quota,28,2807,siren,,1,57,29,3994,6.103528929637211e-05,0.00870406822001478,0.004382551754655576
quota,31,6614,yang_harmfulness,,1,58,75276,29,0.16408683577801464,6.103528929637211e-05,0.08207393553365551
