layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
19,1399,312,0.0006779276775418473,3515,0.0076599288066947,0.004168928242118274,1,siren
30,6159,3638,0.00792804811324662,348,0.0007564016209228972,0.004342224867084759,1,yang_harmfulness
31,714,3955,0.008619054781351975,64,0.00013732940091683724,0.004378192091134406,1,yang_harmfulness
28,2807,29,6.103528929637211e-05,3994,0.00870406822001478,0.004382551754655576,1,siren
29,11005,229,0.0004970016414133158,3913,0.008527501847407417,0.004512251744410366,1,siren
31,13076,4318,0.009410333710444228,32,6.757478457812626e-05,0.004738954247511177,1,yang_harmfulness
31,14276,4373,0.009530224457276387,15,3.0517644648186055e-05,0.004780371050962287,1,yang_harmfulness
21,23,22,4.577646697227908e-05,4433,0.00966101436291147,0.004853395414941875,1,siren
30,6623,4204,0.00916183288973757,267,0.000579835248315535,0.004870834069026553,1,yang_harmfulness
31,8300,4095,0.008924231227833836,413,0.0008980906853609038,0.00491116095659737,1,yang_harmfulness
31,14107,4150,0.009044121974665996,381,0.0008283360690221928,0.0049362290218440946,1,yang_harmfulness
31,13774,4234,0.009227227842555112,349,0.0007585814526834819,0.004992904647619297,1,yang_harmfulness
31,2756,4458,0.009715510156926089,222,0.0004817428190892227,0.005098626488007655,1,yang_harmfulness
31,3685,4429,0.009652295035869132,265,0.0005754755847943656,0.005113885310331749,1,yang_harmfulness
30,12446,4642,0.010116599200873676,74,0.00015912771852268442,0.00513786345969818,1,yang_harmfulness
30,10431,4570,0.009959651314111577,294,0.0006386907058513224,0.00529917100998145,1,yang_harmfulness
31,9692,4870,0.010613600842286993,9,1.7438654084677745e-05,0.005315519748185836,1,yang_harmfulness
16,11992,106,0.0002288823348613954,4916,0.01071387310327389,0.005471377719067643,1,siren
31,4358,4764,0.010382538675665012,284,0.0006168923882454752,0.005499715531955243,1,yang_harmfulness
31,260,4975,0.010842483177148388,96,0.0002070840172555482,0.005524783597201968,1,yang_harmfulness
31,1506,4952,0.01079234704665494,193,0.00041852769803226586,0.005605437372343603,1,yang_harmfulness
30,1171,5049,0.011003790727431656,117,0.0002528604842278273,0.005628325605829741,1,yang_harmfulness
31,2268,5164,0.011254471379898899,162,0.0003509529134541396,0.00580271214667652,1,yang_harmfulness
15,3816,195,0.0004228873615534353,5153,0.011230493230532467,0.005826690296042951,1,siren
31,1493,5220,0.011376541958491644,187,0.00040544870746875755,0.005890995332980201,1,yang_harmfulness
31,8350,5377,0.011718775544903444,86,0.00018528569964970103,0.005952030622276573,1,yang_harmfulness
31,13801,5354,0.011668639414409996,112,0.0002419613254249037,0.005955300369917449,1,yang_harmfulness
27,1253,69,0.00014822855971976083,5402,0.011773271338918062,0.005960749949318911,1,siren
31,5230,5248,0.011437577247788015,226,0.0004904621461315616,0.005964019696959789,1,yang_harmfulness
18,922,165,0.00035749240873589376,5370,0.011703516722579351,0.006030504565657622,1,siren
22,5031,73,0.0001569478867620997,5556,0.01210896543004811,0.006132956658405105,1,siren
16,14185,154,0.00033351425936946187,5500,0.011986894851455364,0.006160204555412413,1,siren
31,8154,5721,0.012468637670544588,3,4.359663521169436e-06,0.006236498667032879,1,yang_harmfulness
31,6657,5748,0.012527493128080375,52,0.00011117141978982062,0.006319332273935098,1,yang_harmfulness
31,1286,5432,0.011838666291735604,371,0.0008065377514163457,0.006322602021575975,1,yang_harmfulness
30,4438,5445,0.011867004104623205,386,0.0008392352278251164,0.006353119666224161,1,yang_harmfulness
31,9587,5824,0.012693160341884814,110,0.00023760166190373426,0.006465381001894274,1,yang_harmfulness
31,1678,5800,0.01264084437963078,326,0.0007084453221900334,0.006674644850910407,1,yang_harmfulness
31,4661,6112,0.013320951888933213,66,0.00014168906443800668,0.00673132047668561,1,yang_harmfulness
30,5526,5868,0.01278907293935054,418,0.0009089898441638274,0.006849031391757184,1,yang_harmfulness
31,10408,6059,0.013205420805622222,246,0.000534058781343256,0.006869739793482739,1,yang_harmfulness
31,12358,6239,0.013597790522527471,78,0.0001678470455650233,0.006882818784046247,1,yang_harmfulness
31,9416,6442,0.014040296369926169,31,6.539495281754155e-05,0.007052845661371855,1,yang_harmfulness
31,3811,6493,0.01415146778971599,43,9.155293394455816e-05,0.007121510361830274,1,yang_harmfulness
16,9600,446,0.0009700251334601995,6099,0.01329261407604561,0.0071313196047529046,1,siren
30,12150,6425,0.01400323922999623,144,0.0003117159417636147,0.007157477585879922,1,yang_harmfulness
29,9571,30,6.321512105695683e-05,6628,0.014445745077394927,0.0072544800992259415,1,siren
9,5767,396,0.0008610335454309636,6276,0.013678444297669106,0.007269738921550035,1,siren
31,3261,6317,0.01376781739985308,360,0.0007825596020499138,0.007275188500951497,1,yang_harmfulness
31,8359,6646,0.014484982049085451,83,0.00017874620436794688,0.007331864126726699,1,yang_harmfulness
31,8382,6722,0.01465064926288989,22,4.577646697227908e-05,0.007348212864931085,1,yang_harmfulness
31,3616,6874,0.014981983690498767,99,0.00021362351253730236,0.007597803601518034,1,yang_harmfulness
31,6772,6619,0.014426126591549664,400,0.0008697528724733025,0.007647939732011484,1,yang_harmfulness
31,10834,7080,0.015431029033179219,49,0.00010463192450806646,0.0077678304788436426,1,yang_harmfulness
31,5617,7098,0.015470266004869743,199,0.00043160668859577417,0.00795093634673276,1,yang_harmfulness
23,3118,216,0.00046866382852571437,7392,0.01611113654248165,0.008289900185503683,1,siren
31,3871,7527,0.016405413830160587,195,0.0004228873615534353,0.008414150595857012,1,yang_harmfulness
24,9648,269,0.0005841949118367045,7490,0.016324760055018955,0.00845447748342783,1,siren
31,3387,7775,0.016946012106785598,25,5.231596225403323e-05,0.008499164034519816,1,yang_harmfulness
31,5850,7502,0.01635091803614597,306,0.000664848686978339,0.008507883361562154,1,yang_harmfulness
13,13879,98,0.00021144368077671765,7815,0.017033205377208985,0.008622324528992852,1,siren
31,7278,7850,0.017109499488829453,188,0.00040762853922934227,0.008758564014029397,1,yang_harmfulness
31,7598,7700,0.016782524724741746,345,0.000749862125641143,0.008766193425191445,1,yang_harmfulness
10,4789,11,2.179831760584718e-05,8169,0.017804865820455977,0.008913332069030912,1,siren
31,12814,8198,0.017868080941512935,79,0.000170026877325608,0.009019053909419272,1,yang_harmfulness
31,4046,8223,0.01792257673552755,111,0.00023978149366431898,0.009081179114595935,1,yang_harmfulness
30,5948,8135,0.017730751540596095,377,0.000819616741979854,0.009275184141287975,1,yang_harmfulness
31,9445,8121,0.017700233895947912,443,0.0009634856381784453,0.009331859767063178,1,yang_harmfulness
30,3727,8427,0.018367262414686836,172,0.0003727512310599868,0.009370006822873412,1,yang_harmfulness
31,4179,8539,0.018611403571872322,160,0.0003465932499329702,0.009478998410902646,1,yang_harmfulness
31,3444,8347,0.018192875873840057,363,0.0007890990973316679,0.009490987485585863,1,yang_harmfulness
27,13333,361,0.0007847394338104985,8363,0.018227753182009414,0.009506246307909956,1,siren
29,3490,8510,0.018548188450815364,252,0.0005471377719067643,0.009547663111361064,1,yang_harmfulness
31,2266,8662,0.018879522878424242,123,0.0002659394747913356,0.009572731176607788,1,yang_harmfulness
31,3474,8492,0.01850895147912484,328,0.0007128049857112028,0.009610878232418022,1,yang_harmfulness
31,5021,8807,0.01919559848370903,143,0.00030953611000302997,0.00975256729685603,1,yang_harmfulness
31,5144,8905,0.01940922199624633,97,0.00020926384901613293,0.009809242922631231,1,yang_harmfulness
30,2762,8681,0.018920939681875353,322,0.0006997259951476945,0.009810332838511524,1,yang_harmfulness
30,5542,8809,0.019199958147230196,225,0.0004882823143709769,0.009844120230800587,1,yang_harmfulness
29,4918,8769,0.01911276487680681,281,0.0006103528929637211,0.009861558884885265,1,yang_harmfulness
31,11808,9000,0.019616306013501877,61,0.0001307899056350831,0.00987354795956848,1,yang_harmfulness
14,5718,278,0.0006038133976819669,8814,0.01921085730603312,0.009907335351857543,1,siren
31,8732,8763,0.0190996858862433,384,0.000834875564303947,0.009967280725273623,1,yang_harmfulness
31,8990,8922,0.01944627913617627,266,0.0005776554165549503,0.01001196727636561,1,yang_harmfulness
26,8842,436,0.0009482268158543523,8918,0.01943755980913393,0.010192893312494141,1,siren
